sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
1,0,1,0,2,0,0,30,Cranberry Punch
1,0,0,0,0,0,1,15,Creme de Menthe
3,0,0,0,1,1,0,3,Chocolate Monkey
1,0,0,0,1,0,0,10,Cranberry Cordial
1,0,0,0,0,2,0,29,Chocolate Beverage
1,1,0,1,0,0,0,16,Champagne Cocktail
2,2,0,0,0,0,0,27,California Lemonade
0,0,0,0,0,0,0,1,California Root Beer
1,1,0,1,0,1,0,16,Captain Kidd's Punch
0,1,0,0,1,0,0,11,Cosmopolitan Martini
0,0,0,0,0,0,0,1,Caribbean Boilermaker
1,0,0,1,2,0,0,30,Classic Old-Fashioned
1,0,0,0,0,0,0,15,Chocolate Black Russian
0,1,1,1,0,0,0,18,Cocktail Horse’s Neck
1,0,0,0,1,0,0,10,Caribbean Orange Liqueur
1,0,0,0,0,1,0,20,Castillian Hot Chocolate
1,1,0,0,0,0,0,8,Cherry Electric Lemonade
0,0,0,1,0,0,1,14,Derby
0,0,0,0,0,0,0,1,Diesel
1,1,0,0,0,0,0,8,Daiquiri
0,0,0,1,0,0,0,23,Danbooka
1,0,0,0,1,0,0,10,Downshift
0,1,1,0,0,0,0,28,Dragonfly
0,0,0,0,0,0,0,1,Dry Martini
0,1,0,0,0,0,0,6,Dry Rob Roy
0,0,0,0,0,1,0,5,Dirty Nipple
0,1,0,0,0,0,0,6,Dirty Martini
0,0,0,0,2,0,0,17,Darkwood Sling
0,0,1,0,0,0,0,25,Dark and Stormy
1,1,0,0,0,0,0,8,Dark Caipirinha
1,1,1,1,0,0,0,16,Duchamp's Punch
0,0,1,0,0,0,0,25,Damned if you do
0,1,0,1,0,0,0,18,Dubonnet Cocktail
2,0,0,0,0,3,0,12,Drinking Chocolate
0,0,0,0,0,0,0,1,Death in the Afternoon
1,0,0,0,0,1,0,20,Egg Cream
3,0,0,0,0,4,0,12,Egg Nog #4
1,1,0,0,0,0,0,8,English Highball
1,0,0,0,0,0,0,15,Espresso Martini
1,0,0,1,0,0,0,19,Espresso Rumtini
2,0,0,0,0,3,0,12,Egg Nog - Healthy
1,1,0,0,2,0,0,4,English Rose Cocktail
0,1,0,0,0,0,0,6,Elderflower Caipirinha
2,0,0,0,0,2,0,12,Egg-Nog - Classic Cooked
1,0,0,1,0,0,0,19,Empellón Cocina's Fat-Washed Mezcal
1,1,0,0,1,0,0,0,Frosé
1,0,0,1,0,1,0,21,Frappé
0,0,0,0,0,1,0,5,Foxy Lady
1,1,0,0,2,0,0,4,French 75
1,0,0,2,1,0,1,26,Figgy Thyme
0,4,0,0,0,0,0,27,Frisco Sour
0,0,0,0,2,0,0,17,Fruit Shake
1,1,0,0,3,0,0,4,Fruit Cooler
0,0,0,0,0,0,0,1,Freddy Kruger
0,1,0,0,2,0,0,4,Funk and Soul
0,0,0,1,1,0,0,26,Fuzzy Asshole
0,0,0,0,2,0,0,17,French Martini
1,0,0,0,1,0,0,10,French Negroni
0,0,1,0,0,0,0,25,Fahrenheit 5000
